epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7927,2.41363,4.17637,1.64689,0.18924,0.26352,0.15347,0.04515,2.27465,3.54597,1.61849,0.00332558,0.00332558,0.00332558
2,105.272,2.08821,3.0208,1.45158,0.30612,0.40723,0.31789,0.11283,2.18757,2.8105,1.57112,0.00659299,0.00659299,0.00659299
3,157.602,2.11105,2.72182,1.50312,0.26352,0.28424,0.16979,0.05125,2.5275,3.16464,1.9124,0.0097944,0.0097944,0.0097944
4,209.631,2.11015,2.50277,1.54766,0.34949,0.33777,0.2884,0.10051,2.42482,2.27464,1.80631,0.009703,0.009703,0.009703
5,261.824,2.07928,2.32334,1.53486,0.40267,0.37584,0.3336,0.11076,2.3027,2.10541,1.71511,0.009604,0.009604,0.009604
6,314.207,2.0327,2.16315,1.49842,0.42033,0.44171,0.38635,0.13625,2.19434,1.92692,1.64164,0.009505,0.009505,0.009505
7,366.575,2.02366,2.10112,1.51087,0.50109,0.4906,0.46678,0.17379,2.09904,1.78964,1.58668,0.009406,0.009406,0.009406
8,418.877,1.99634,2.01667,1.48822,0.4515,0.44203,0.41416,0.15569,2.1629,1.91178,1.62594,0.009307,0.009307,0.009307
9,471.33,1.97283,1.96204,1.48056,0.63047,0.53777,0.56019,0.21755,2.05137,1.60386,1.56227,0.009208,0.009208,0.009208
10,523.755,1.94924,1.92997,1.47349,0.47481,0.4438,0.44676,0.16131,2.17372,1.7702,1.66829,0.009109,0.009109,0.009109
11,576.171,1.95653,1.89409,1.48426,0.51617,0.54817,0.53639,0.20021,2.06677,1.67138,1.59001,0.00901,0.00901,0.00901
12,628.632,1.94037,1.85793,1.46318,0.61727,0.5186,0.55622,0.21389,2.02438,1.63204,1.55951,0.008911,0.008911,0.008911
13,681.084,1.92819,1.81395,1.45958,0.57619,0.56788,0.58791,0.23658,2.05419,1.53696,1.57517,0.008812,0.008812,0.008812
14,733.557,1.91896,1.79109,1.43868,0.60172,0.54574,0.59174,0.22769,2.06965,1.53957,1.57927,0.008713,0.008713,0.008713
15,786.051,1.91077,1.77444,1.44715,0.60005,0.53764,0.58543,0.23052,2.00153,1.53156,1.53249,0.008614,0.008614,0.008614
16,838.383,1.90336,1.75209,1.4502,0.53465,0.60549,0.5661,0.21847,2.04164,1.51124,1.56909,0.008515,0.008515,0.008515
17,890.891,1.89544,1.73495,1.44474,0.69187,0.59233,0.66024,0.2629,2.02262,1.41548,1.5656,0.008416,0.008416,0.008416
