                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2081,                 3.1589,                 1.4155,                0.51759,                0.29337,                0.27892,                0.09999,                 2.2104,                 2.6191,                 1.5383,             0.00036938,             0.00036938,             0.00036938
                      2,                 1.7849,                  1.684,                 1.2531,                0.59075,                0.37802,                0.34532,                0.12559,                 2.2325,                 2.2017,                 1.6402,             0.00073239,             0.00073239,             0.00073239
                      3,                 1.6338,                 1.3299,                 1.1973,                0.62266,                0.41345,                 0.4118,                0.15141,                 2.2574,                 2.0111,                 1.6913,              0.0010881,              0.0010881,              0.0010881
                      4,                 1.4982,                 1.1462,                 1.1513,                0.69375,                0.44762,                0.47736,                 0.1773,                 2.2515,                  1.844,                 1.6861,               0.001078,               0.001078,               0.001078
                      5,                 1.3842,                 1.0031,                 1.1005,                0.65235,                0.46298,                0.45963,                0.17514,                 2.2307,                 1.8451,                 1.7033,               0.001067,               0.001067,               0.001067
                      6,                 1.3044,                0.92868,                 1.0771,                0.51131,                0.50852,                0.51657,                0.19211,                  2.226,                 1.7767,                 1.6821,               0.001056,               0.001056,               0.001056
                      7,                 1.2123,                0.85258,                 1.0469,                0.65812,                0.48447,                0.49967,                0.17464,                 2.2769,                 1.7513,                 1.7233,               0.001045,               0.001045,               0.001045
                      8,                 1.1543,                0.79613,                 1.0248,                0.69019,                0.51115,                0.53678,                0.19644,                 2.2032,                 1.6047,                 1.6563,               0.001034,               0.001034,               0.001034
                      9,                 1.1243,                0.78323,                 1.0225,                0.75695,                0.53134,                0.57654,                0.23093,                 2.1096,                 1.4819,                 1.6154,               0.001023,               0.001023,               0.001023
                     10,                   1.07,                0.73634,                 1.0007,                0.63233,                0.58044,                0.58797,                0.21953,                 2.1667,                 1.4998,                 1.6624,               0.001012,               0.001012,               0.001012
                     11,                 1.0554,                0.71957,                0.99462,                0.61891,                0.55419,                0.59701,                0.22841,                 2.1686,                  1.474,                  1.647,               0.001001,               0.001001,               0.001001
                     12,                 1.0249,                0.70573,                0.98767,                0.75228,                 0.5638,                0.63599,                0.24244,                 2.1437,                 1.4303,                 1.6293,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.0037,                0.67557,                0.98281,                0.59843,                0.55191,                0.61398,                0.24889,                 2.0912,                 1.4382,                 1.6056,             0.00097901,             0.00097901,             0.00097901
                     14,                0.96481,                0.65964,                0.96811,                0.73372,                0.54899,                0.63336,                0.24382,                 2.1681,                 1.4159,                 1.6475,             0.00096801,             0.00096801,             0.00096801
                     15,                0.94989,                 0.6416,                0.96213,                0.69224,                0.58803,                0.65051,                 0.2479,                 2.1326,                 1.3193,                 1.6344,             0.00095702,             0.00095702,             0.00095702
                     16,                0.92457,                0.62464,                0.95962,                0.62708,                0.60214,                0.62331,                0.24926,                 2.0582,                 1.4211,                 1.5743,             0.00094602,             0.00094602,             0.00094602
                     17,                  0.909,                0.60425,                0.95014,                0.68066,                0.64154,                0.67128,                0.26475,                  2.084,                 1.3187,                 1.5773,             0.00093502,             0.00093502,             0.00093502
                     18,                0.90023,                0.60488,                0.95116,                0.71071,                0.58984,                  0.636,                0.25767,                 2.0774,                 1.3821,                 1.5976,             0.00092402,             0.00092402,             0.00092402
                     19,                 0.8691,                0.58808,                0.93988,                0.70497,                0.60696,                  0.653,                0.26018,                 2.0645,                 1.3361,                 1.5654,             0.00091302,             0.00091302,             0.00091302
                     20,                0.88029,                0.59185,                0.95412,                0.71805,                0.65542,                0.68778,                0.26992,                 2.0773,                 1.2571,                 1.5893,             0.00090202,             0.00090202,             0.00090202
                     21,                0.86118,                 0.5813,                0.94047,                0.78883,                0.63923,                0.68765,                0.27776,                 2.0622,                 1.2824,                 1.5644,             0.00089102,             0.00089102,             0.00089102
                     22,                0.86346,                0.57624,                0.94462,                  0.751,                 0.6078,                0.68397,                0.27878,                 2.0556,                  1.314,                  1.582,             0.00088002,             0.00088002,             0.00088002
                     23,                0.85108,                0.57166,                 0.9398,                0.77804,                0.62917,                0.68185,                0.27365,                 2.0685,                  1.228,                 1.5887,             0.00086902,             0.00086902,             0.00086902
