                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3501,                 5.7956,                 1.8802,                0.00379,                0.48607,                0.06715,                0.02446,                 1.8395,                  5.235,                 1.6654,             0.00036406,             0.00036406,             0.00036406
                      2,                 1.9195,                 3.1555,                 1.5564,                0.77777,                0.13831,                0.26656,                0.09306,                 1.9782,                 3.1709,                 1.7366,             0.00073431,             0.00073431,             0.00073431
                      3,                 1.8937,                 2.1977,                  1.553,                0.42251,                0.37561,                0.39824,                 0.1482,                 2.0657,                 2.3387,                  1.791,              0.0011042,              0.0011042,              0.0011042
                      4,                 1.8873,                 1.8764,                 1.5594,                0.37808,                0.39893,                0.30308,                0.09671,                 2.2128,                 2.3644,                 1.9832,              0.0011099,              0.0011099,              0.0011099
                      5,                 1.8522,                 1.6758,                 1.5525,                0.56876,                0.54105,                0.57254,                 0.2339,                 1.9332,                 1.7021,                 1.7901,              0.0011091,              0.0011091,              0.0011091
                      6,                 1.8016,                 1.5523,                 1.5123,                0.65131,                0.59619,                0.63773,                0.25561,                 1.9715,                 1.5386,                 1.7314,               0.001108,               0.001108,               0.001108
                      7,                 1.7858,                 1.4553,                 1.4873,                0.60479,                0.57821,                0.60585,                0.24725,                  1.998,                 1.6139,                 1.7295,              0.0011067,              0.0011067,              0.0011067
                      8,                 1.7514,                  1.397,                 1.4731,                0.66175,                0.63118,                0.66707,                0.25848,                 2.0066,                 1.5037,                 1.7271,              0.0011051,              0.0011051,              0.0011051
                      9,                 1.7275,                 1.3329,                  1.461,                0.66781,                0.62249,                0.65591,                0.26413,                 1.9777,                 1.4899,                 1.7452,              0.0011033,              0.0011033,              0.0011033
                     10,                 1.6962,                  1.283,                 1.4306,                0.70298,                0.66919,                0.71162,                0.27784,                 1.9743,                 1.3899,                 1.7022,              0.0011013,              0.0011013,              0.0011013
