epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5427,2.36779,3.62415,1.5524,0.35871,0.38331,0.33074,0.13241,2.06256,2.64232,1.46656,0.000369376,0.000369376,0.000369376
2,96.1323,2.13219,2.38522,1.42826,0.53262,0.46634,0.48554,0.18436,2.00788,2.05346,1.49783,0.000732387,0.000732387,0.000732387
3,143.782,2.09142,2.06236,1.41994,0.56798,0.46428,0.52367,0.20921,1.97889,1.91786,1.48764,0.00108806,0.00108806,0.00108806
4,191.469,2.05844,1.94713,1.42616,0.45431,0.5591,0.52009,0.20115,2.01183,1.82371,1.51562,0.001078,0.001078,0.001078
5,239.101,2.03884,1.84135,1.40681,0.58834,0.56054,0.58158,0.23387,1.94932,1.62622,1.48328,0.001067,0.001067,0.001067
6,286.795,2.01377,1.73272,1.40117,0.61895,0.57981,0.60779,0.23646,1.99124,1.58445,1.51645,0.00105601,0.00105601,0.00105601
7,334.624,2.00588,1.69101,1.3949,0.60739,0.59119,0.58968,0.22584,1.99495,1.63024,1.52263,0.00104501,0.00104501,0.00104501
8,382.316,1.98547,1.65934,1.37227,0.72598,0.63283,0.6902,0.28251,1.93506,1.4589,1.47326,0.00103401,0.00103401,0.00103401
9,430.03,1.96253,1.59449,1.37904,0.6963,0.60238,0.65627,0.25518,1.98868,1.53488,1.51216,0.00102301,0.00102301,0.00102301
10,477.85,1.95243,1.58042,1.35764,0.7271,0.65193,0.70197,0.28166,1.96839,1.4248,1.50687,0.00101201,0.00101201,0.00101201
11,525.528,1.95486,1.54038,1.36986,0.70506,0.64956,0.6826,0.26988,1.98321,1.44656,1.50958,0.00100101,0.00100101,0.00100101
12,573.247,1.92627,1.49186,1.36068,0.70043,0.6571,0.7081,0.29717,1.88958,1.35469,1.45825,0.000990012,0.000990012,0.000990012
13,621.133,1.92655,1.48678,1.35799,0.68941,0.6537,0.69533,0.29395,1.88977,1.40657,1.4698,0.000979013,0.000979013,0.000979013
14,668.825,1.92965,1.47221,1.35677,0.78814,0.64583,0.73061,0.3116,1.88429,1.34802,1.4574,0.000968014,0.000968014,0.000968014
15,716.729,1.9116,1.44218,1.3465,0.74088,0.64376,0.71246,0.29776,1.91062,1.39771,1.46336,0.000957015,0.000957015,0.000957015
16,764.446,1.90758,1.43108,1.34694,0.72771,0.66041,0.71915,0.30773,1.89211,1.32972,1.47339,0.000946016,0.000946016,0.000946016
17,812.173,1.90725,1.43123,1.34121,0.7645,0.66495,0.73581,0.30771,1.89502,1.31251,1.4637,0.000935018,0.000935018,0.000935018
18,860.059,1.89601,1.40253,1.34374,0.79067,0.67116,0.74122,0.31284,1.89613,1.32737,1.46666,0.000924019,0.000924019,0.000924019
19,907.814,1.88354,1.38958,1.32695,0.77772,0.68171,0.76562,0.31822,1.91317,1.30997,1.46328,0.00091302,0.00091302,0.00091302
20,955.597,1.88992,1.37504,1.33813,0.77644,0.71305,0.76578,0.31886,1.91265,1.27002,1.47578,0.000902021,0.000902021,0.000902021
21,1003.47,1.88691,1.3741,1.33396,0.77795,0.70303,0.75327,0.3113,1.9474,1.28595,1.50368,0.000891022,0.000891022,0.000891022
22,1051.39,1.88073,1.33409,1.33135,0.78254,0.69576,0.75495,0.3261,1.91825,1.23987,1.47622,0.000880023,0.000880023,0.000880023
23,1099.26,1.88566,1.34566,1.33754,0.79167,0.7206,0.77994,0.33798,1.86705,1.2119,1.44485,0.000869024,0.000869024,0.000869024
24,1147.08,1.86713,1.34038,1.32066,0.82116,0.70808,0.78619,0.33676,1.87354,1.21576,1.45197,0.000858025,0.000858025,0.000858025
25,1194.85,1.86499,1.34319,1.33031,0.79914,0.71237,0.78526,0.33673,1.87136,1.22992,1.45249,0.000847026,0.000847026,0.000847026
26,1242.59,1.87051,1.32581,1.32927,0.80486,0.72273,0.79622,0.33977,1.88222,1.20669,1.46271,0.000836027,0.000836027,0.000836027
27,1290.42,1.86363,1.32008,1.32658,0.79304,0.72692,0.78293,0.34468,1.86143,1.19676,1.44795,0.000825029,0.000825029,0.000825029
28,1338.17,1.85192,1.32302,1.32037,0.82324,0.72482,0.79788,0.34345,1.87247,1.17571,1.44814,0.00081403,0.00081403,0.00081403
29,1385.98,1.83827,1.28246,1.3114,0.80066,0.69979,0.77531,0.33501,1.88139,1.20807,1.45665,0.000803031,0.000803031,0.000803031
30,1433.82,1.84113,1.26212,1.31184,0.83257,0.72712,0.7956,0.34354,1.89983,1.17126,1.46614,0.000792032,0.000792032,0.000792032
31,1481.56,1.84686,1.27668,1.32004,0.80393,0.7371,0.80251,0.34833,1.85954,1.17116,1.44117,0.000781033,0.000781033,0.000781033
32,1529.34,1.83833,1.26017,1.3075,0.81293,0.74245,0.80485,0.35742,1.8651,1.15256,1.44637,0.000770034,0.000770034,0.000770034
33,1577.23,1.82797,1.24235,1.30893,0.81794,0.74621,0.81267,0.35127,1.88939,1.14342,1.46243,0.000759035,0.000759035,0.000759035
34,1625,1.83258,1.26638,1.29931,0.82306,0.74383,0.8005,0.34335,1.8971,1.1519,1.45963,0.000748036,0.000748036,0.000748036
35,1672.8,1.83179,1.25133,1.2966,0.81342,0.74823,0.8027,0.35184,1.85349,1.15249,1.43427,0.000737037,0.000737037,0.000737037
36,1720.62,1.82742,1.22299,1.30486,0.81266,0.74088,0.80311,0.34838,1.89597,1.14424,1.46194,0.000726038,0.000726038,0.000726038
37,1768.37,1.82116,1.23139,1.29997,0.82118,0.74359,0.80333,0.35356,1.86352,1.13605,1.4452,0.00071504,0.00071504,0.00071504
38,1816.13,1.82448,1.21936,1.30728,0.81558,0.7568,0.82435,0.35615,1.86603,1.12497,1.44506,0.000704041,0.000704041,0.000704041
39,1864.09,1.81737,1.22718,1.29862,0.81841,0.74861,0.82821,0.36542,1.8721,1.10175,1.44687,0.000693042,0.000693042,0.000693042
40,1911.84,1.81918,1.21758,1.29897,0.81989,0.74816,0.80948,0.35494,1.84803,1.12726,1.44377,0.000682043,0.000682043,0.000682043
41,1959.7,1.80668,1.20185,1.29839,0.82958,0.76664,0.83223,0.36132,1.88128,1.10535,1.45265,0.000671044,0.000671044,0.000671044
42,2007.41,1.80505,1.20166,1.2944,0.8289,0.76176,0.82535,0.35968,1.8713,1.10459,1.45277,0.000660045,0.000660045,0.000660045
43,2055.21,1.82247,1.21097,1.29683,0.83507,0.7517,0.82046,0.3662,1.82905,1.10555,1.42615,0.000649046,0.000649046,0.000649046
44,2103.08,1.80179,1.17603,1.29524,0.83734,0.75263,0.81844,0.36763,1.84793,1.08546,1.43909,0.000638047,0.000638047,0.000638047
45,2150.8,1.7932,1.17933,1.28594,0.84223,0.76644,0.82594,0.3676,1.84407,1.07873,1.42865,0.000627048,0.000627048,0.000627048
46,2198.57,1.78931,1.16189,1.27934,0.8393,0.77005,0.83053,0.36216,1.86616,1.08024,1.44088,0.000616049,0.000616049,0.000616049
47,2246.31,1.79708,1.16454,1.27937,0.82823,0.77055,0.81655,0.36889,1.8479,1.07359,1.43863,0.000605051,0.000605051,0.000605051
48,2294.14,1.78344,1.15778,1.28383,0.85613,0.78765,0.84093,0.37079,1.8558,1.05683,1.43685,0.000594052,0.000594052,0.000594052
49,2341.9,1.77351,1.16506,1.27865,0.83349,0.77621,0.8331,0.37381,1.85478,1.06708,1.43998,0.000583053,0.000583053,0.000583053
50,2389.76,1.77239,1.16076,1.28905,0.8229,0.77696,0.83302,0.37138,1.85615,1.06596,1.4407,0.000572054,0.000572054,0.000572054
51,2437.51,1.78176,1.13602,1.27278,0.83924,0.77482,0.82868,0.37622,1.84792,1.05071,1.43024,0.000561055,0.000561055,0.000561055
